d3mIndex,filename,bounding_box
21,2016-10-06__11-30-14-275.jpg,"1012,815,1012,1015,1198,1015,1198,815"
21,2016-10-06__11-30-14-275.jpg,"1023,1105,1023,1330,1187,1330,1187,1105"
21,2016-10-06__11-30-14-275.jpg,"1173,1498,1173,1840,1373,1840,1373,1498"
21,2016-10-06__11-30-14-275.jpg,"1127,2019,1127,2194,1405,2194,1405,2019"
21,2016-10-06__11-30-14-275.jpg,"655,2158,655,2348,816,2348,816,2158"
21,2016-10-06__11-30-14-275.jpg,"927,2280,927,2483,1048,2483,1048,2280"
21,2016-10-06__11-30-14-275.jpg,"1091,2548,1091,2708,1252,2708,1252,2548"
21,2016-10-06__11-30-14-275.jpg,"2337,744,2337,887,2459,887,2459,744"
23,2016-10-07__02-31-19-375.jpg,"805,1726,805,1958,1152,1958,1152,1726"
24,2016-10-07__07-49-09-159.jpg,"2,1308,2,1512,98,1512,98,1308"
24,2016-10-07__07-49-09-159.jpg,"62,3019,62,3162,162,3162,162,3019"
25,2016-10-07__11-48-43-420.jpg,"73,248,73,669,416,669,416,248"
25,2016-10-07__11-48-43-420.jpg,"1109,826,1109,1115,1462,1115,1462,826"
25,2016-10-07__11-48-43-420.jpg,"680,1698,680,2026,994,2026,994,1698"
25,2016-10-07__11-48-43-420.jpg,"452,2708,452,3119,809,3119,809,2708"
25,2016-10-07__11-48-43-420.jpg,"209,2258,209,2519,434,2519,434,2258"
26,2016-10-07__12-55-14-096.jpg,"1366,1051,1366,1362,1666,1362,1666,1051"
26,2016-10-07__12-55-14-096.jpg,"2105,2126,2105,2365,2441,2365,2441,2126"
26,2016-10-07__12-55-14-096.jpg,"1655,2255,1655,2537,1959,2537,1959,2255"
26,2016-10-07__12-55-14-096.jpg,"1480,2919,1480,3237,1769,3237,1769,2919"
26,2016-10-07__12-55-14-096.jpg,"1323,1730,1323,1912,1541,1912,1541,1730"
26,2016-10-07__12-55-14-096.jpg,"1209,8,1209,148,1437,148,1437,8"
26,2016-10-07__12-55-14-096.jpg,"2227,1301,2227,1558,2462,1558,2462,1301"
26,2016-10-07__12-55-14-096.jpg,"2059,801,2059,955,2405,955,2405,801"
26,2016-10-07__12-55-14-096.jpg,"998,2526,998,2787,1237,2787,1237,2526"
28,2016-10-08__10-36-38-900.jpg,"1594,5,1594,148,1891,148,1891,5"
28,2016-10-08__10-36-38-900.jpg,"1469,444,1469,737,1730,737,1730,444"
28,2016-10-08__10-36-38-900.jpg,"1337,548,1337,662,1459,662,1459,548"
28,2016-10-08__10-36-38-900.jpg,"1984,383,1984,630,2173,630,2173,383"
28,2016-10-08__10-36-38-900.jpg,"902,765,902,944,1162,944,1162,765"
28,2016-10-08__10-36-38-900.jpg,"1966,980,1966,1283,2166,1283,2166,980"
28,2016-10-08__10-36-38-900.jpg,"1412,1026,1412,1355,1666,1355,1666,1026"
28,2016-10-08__10-36-38-900.jpg,"1769,1726,1769,2022,2037,2022,2037,1726"
28,2016-10-08__10-36-38-900.jpg,"1441,2022,1441,2276,1612,2276,1612,2022"
28,2016-10-08__10-36-38-900.jpg,"1309,2333,1309,2483,1430,2483,1430,2333"
28,2016-10-08__10-36-38-900.jpg,"1602,2573,1602,2801,1759,2801,1759,2573"
28,2016-10-08__10-36-38-900.jpg,"1527,3083,1527,3190,1594,3190,1594,3083"
29,2016-10-08__10-48-44-591.jpg,"1255,162,1255,383,1444,383,1444,162"
29,2016-10-08__10-48-44-591.jpg,"1212,365,1212,562,1362,562,1362,365"
29,2016-10-08__10-48-44-591.jpg,"1394,480,1394,694,1602,694,1602,480"
29,2016-10-08__10-48-44-591.jpg,"1766,169,1766,358,1973,358,1973,169"
29,2016-10-08__10-48-44-591.jpg,"1212,633,1212,880,1377,880,1377,633"
29,2016-10-08__10-48-44-591.jpg,"1502,1051,1502,1230,1698,1230,1698,1051"
29,2016-10-08__10-48-44-591.jpg,"1205,1344,1205,1533,1380,1533,1380,1344"
29,2016-10-08__10-48-44-591.jpg,"1044,1540,1044,1762,1277,1762,1277,1540"
29,2016-10-08__10-48-44-591.jpg,"1398,1776,1398,1994,1634,1994,1634,1776"
29,2016-10-08__10-48-44-591.jpg,"1491,2173,1491,2373,1677,2373,1677,2173"
29,2016-10-08__10-48-44-591.jpg,"1398,2398,1398,2637,1587,2637,1587,2398"
29,2016-10-08__10-48-44-591.jpg,"1616,2630,1616,2862,1877,2862,1877,2630"
29,2016-10-08__10-48-44-591.jpg,"1427,2787,1427,2983,1612,2983,1612,2787"
29,2016-10-08__10-48-44-591.jpg,"1012,2962,1012,3294,1273,3294,1273,2962"
29,2016-10-08__10-48-44-591.jpg,"1502,3030,1502,3283,1741,3283,1741,3030"
30,2016-10-08__10-50-44-022.jpg,"505,612,505,826,712,826,712,612"
30,2016-10-08__10-50-44-022.jpg,"766,440,766,562,887,562,887,440"
30,2016-10-08__10-50-44-022.jpg,"430,1008,430,1201,673,1201,673,1008"
30,2016-10-08__10-50-44-022.jpg,"723,2101,723,2287,898,2287,898,2101"
30,2016-10-08__10-50-44-022.jpg,"419,2480,419,2573,594,2573,594,2480"
30,2016-10-08__10-50-44-022.jpg,"394,2808,394,2990,662,2990,662,2808"
30,2016-10-08__10-50-44-022.jpg,"259,3055,259,3287,441,3287,441,3055"
30,2016-10-08__10-50-44-022.jpg,"1073,2833,1073,3090,1244,3090,1244,2833"
30,2016-10-08__10-50-44-022.jpg,"2405,762,2405,948,2469,948,2469,762"
30,2016-10-08__10-50-44-022.jpg,"255,1198,255,1269,391,1269,391,1198"
30,2016-10-08__10-50-44-022.jpg,"248,1998,248,2055,373,2055,373,1998"
31,2016-10-08__10-53-30-602.jpg,"255,48,255,258,444,258,444,48"
31,2016-10-08__10-53-30-602.jpg,"55,240,55,469,262,469,262,240"
31,2016-10-08__10-53-30-602.jpg,"237,1201,237,1358,409,1358,409,1201"
31,2016-10-08__10-53-30-602.jpg,"548,858,548,990,627,990,627,858"
31,2016-10-08__10-53-30-602.jpg,"173,1962,173,2137,369,2137,369,1962"
31,2016-10-08__10-53-30-602.jpg,"41,2537,41,2733,284,2733,284,2537"
31,2016-10-08__10-53-30-602.jpg,"137,2887,137,3033,227,3033,227,2887"
31,2016-10-08__10-53-30-602.jpg,"262,2926,262,3115,416,3115,416,2926"
31,2016-10-08__10-53-30-602.jpg,"1712,573,1712,740,1844,740,1844,573"
31,2016-10-08__10-53-30-602.jpg,"2169,80,2169,276,2352,276,2352,80"
31,2016-10-08__10-53-30-602.jpg,"2144,351,2144,637,2355,637,2355,351"
31,2016-10-08__10-53-30-602.jpg,"1977,944,1977,1151,2130,1151,2130,944"
31,2016-10-08__10-53-30-602.jpg,"2284,765,2284,974,2472,974,2472,765"
31,2016-10-08__10-53-30-602.jpg,"2237,1130,2237,1262,2377,1262,2377,1130"
31,2016-10-08__10-53-30-602.jpg,"2202,1365,2202,1494,2369,1494,2369,1365"
31,2016-10-08__10-53-30-602.jpg,"1873,1240,1873,1337,1941,1337,1941,1240"
31,2016-10-08__10-53-30-602.jpg,"2180,1740,2180,1912,2412,1912,2412,1740"
31,2016-10-08__10-53-30-602.jpg,"1952,1923,1952,2083,2137,2083,2137,1923"
31,2016-10-08__10-53-30-602.jpg,"2327,2108,2327,2264,2472,2264,2472,2108"
31,2016-10-08__10-53-30-602.jpg,"2016,2348,2016,2669,2248,2669,2248,2348"
31,2016-10-08__10-53-30-602.jpg,"1680,2773,1680,2944,1809,2944,1809,2773"
31,2016-10-08__10-53-30-602.jpg,"2177,2930,2177,3190,2409,3190,2409,2930"
32,2016-10-10__11-20-33-258.jpg,"2,2526,2,2737,94,2737,94,2526"
32,2016-10-10__11-20-33-258.jpg,"1805,2655,1805,2887,1980,2887,1980,2655"
32,2016-10-10__11-20-33-258.jpg,"1848,2537,1848,2769,2037,2769,2037,2537"
32,2016-10-10__11-20-33-258.jpg,"1687,2051,1687,2290,2066,2290,2066,2051"
32,2016-10-10__11-20-33-258.jpg,"1491,1662,1491,1908,1787,1908,1787,1662"
32,2016-10-10__11-20-33-258.jpg,"1848,1458,1848,1576,1919,1576,1919,1458"
32,2016-10-10__11-20-33-258.jpg,"1530,855,1530,1048,1752,1048,1752,855"
32,2016-10-10__11-20-33-258.jpg,"1948,426,1948,644,2237,644,2237,426"
32,2016-10-10__11-20-33-258.jpg,"2016,183,2016,412,2302,412,2302,183"
32,2016-10-10__11-20-33-258.jpg,"1512,8,1512,248,1816,248,1816,8"
32,2016-10-10__11-20-33-258.jpg,"1362,169,1362,315,1462,315,1462,169"
34,2016-10-10__13-13-08-501.jpg,"884,1051,884,1201,973,1201,973,1051"
34,2016-10-10__13-13-08-501.jpg,"587,1901,587,1998,759,1998,759,1901"
34,2016-10-10__13-13-08-501.jpg,"1098,1676,1098,1858,1294,1858,1294,1676"
34,2016-10-10__13-13-08-501.jpg,"798,2965,798,3248,959,3248,959,2965"
35,2016-10-10__13-23-34-937.jpg,"1016,1,1016,87,1244,87,1244,1"
35,2016-10-10__13-23-34-937.jpg,"952,340,952,598,1166,598,1166,340"
35,2016-10-10__13-23-34-937.jpg,"784,1430,784,1769,1119,1769,1119,1430"
35,2016-10-10__13-23-34-937.jpg,"584,2019,584,2219,759,2219,759,2019"
35,2016-10-10__13-23-34-937.jpg,"873,1894,873,2287,1134,2287,1134,1894"
35,2016-10-10__13-23-34-937.jpg,"1280,2590,1280,3033,1577,3033,1577,2590"
35,2016-10-10__13-23-34-937.jpg,"694,2698,694,2930,905,2930,905,2698"
35,2016-10-10__13-23-34-937.jpg,"902,1208,902,1290,1030,1290,1030,1208"
36,2016-10-10__14-24-46-307.jpg,"212,33,212,162,391,162,391,33"
36,2016-10-10__14-24-46-307.jpg,"227,498,227,662,427,662,427,498"
36,2016-10-10__14-24-46-307.jpg,"105,562,105,683,248,683,248,562"
36,2016-10-10__14-24-46-307.jpg,"344,958,344,1123,527,1123,527,958"
36,2016-10-10__14-24-46-307.jpg,"419,1098,419,1323,584,1323,584,1098"
36,2016-10-10__14-24-46-307.jpg,"716,1073,716,1144,784,1144,784,1073"
36,2016-10-10__14-24-46-307.jpg,"562,1426,562,1551,634,1551,634,1426"
36,2016-10-10__14-24-46-307.jpg,"477,1630,477,1733,580,1733,580,1630"
36,2016-10-10__14-24-46-307.jpg,"359,1898,359,2008,491,2008,491,1898"
36,2016-10-10__14-24-46-307.jpg,"187,2162,187,2333,355,2333,355,2162"
36,2016-10-10__14-24-46-307.jpg,"180,2390,180,2626,337,2626,337,2390"
36,2016-10-10__14-24-46-307.jpg,"105,2633,105,2762,294,2762,294,2633"
36,2016-10-10__14-24-46-307.jpg,"473,2483,473,2655,637,2655,637,2483"
36,2016-10-10__14-24-46-307.jpg,"294,2687,294,2833,434,2833,434,2687"
36,2016-10-10__14-24-46-307.jpg,"2241,273,2241,426,2348,426,2348,273"
36,2016-10-10__14-24-46-307.jpg,"2055,619,2055,758,2155,758,2155,619"
36,2016-10-10__14-24-46-307.jpg,"2223,708,2223,819,2377,819,2377,708"
36,2016-10-10__14-24-46-307.jpg,"2366,1094,2366,1251,2472,1251,2472,1094"
36,2016-10-10__14-24-46-307.jpg,"2105,1365,2105,1515,2198,1515,2198,1365"
36,2016-10-10__14-24-46-307.jpg,"2202,1662,2202,1837,2341,1837,2341,1662"
36,2016-10-10__14-24-46-307.jpg,"2269,1930,2269,2037,2430,2037,2430,1930"
36,2016-10-10__14-24-46-307.jpg,"2155,2194,2155,2412,2319,2412,2319,2194"
36,2016-10-10__14-24-46-307.jpg,"2180,2715,2180,2998,2384,2998,2384,2715"
36,2016-10-10__14-24-46-307.jpg,"2169,3030,2169,3198,2284,3198,2284,3030"
36,2016-10-10__14-24-46-307.jpg,"559,2998,559,3237,652,3237,652,2998"
36,2016-10-10__14-24-46-307.jpg,"2380,2305,2380,2498,2469,2498,2469,2305"
36,2016-10-10__14-24-46-307.jpg,"573,794,573,905,648,905,648,794"
38,2016-10-11__12-11-58-755.jpg,"309,3112,309,3273,523,3273,523,3112"
38,2016-10-11__12-11-58-755.jpg,"2123,2933,2123,3069,2323,3069,2323,2933"
39,2016-10-11__12-12-36-004.jpg,"316,3126,316,3276,519,3276,519,3126"
39,2016-10-11__12-12-36-004.jpg,"2130,2933,2130,3069,2319,3069,2319,2933"
40,2016-10-11__12-16-04-307.jpg,"2127,2940,2127,3069,2319,3069,2319,2940"
40,2016-10-11__12-16-04-307.jpg,"312,3123,312,3273,516,3273,516,3123"
41,2016-10-11__12-16-10-154.jpg,"2144,2940,2144,3065,2327,3065,2327,2940"
41,2016-10-11__12-16-10-154.jpg,"323,3123,323,3269,523,3269,523,3123"
42,2016-10-12__11-10-00-326.jpg,"5,1683,5,1912,105,1912,105,1683"
42,2016-10-12__11-10-00-326.jpg,"198,1608,198,1719,305,1719,305,1608"
42,2016-10-12__11-10-00-326.jpg,"1791,2744,1791,2951,1937,2951,1937,2744"
42,2016-10-12__11-10-00-326.jpg,"1762,2594,1762,2730,1891,2730,1891,2594"
42,2016-10-12__11-10-00-326.jpg,"1759,2219,1759,2440,1962,2440,1962,2219"
42,2016-10-12__11-10-00-326.jpg,"1809,1694,1809,1830,1944,1830,1944,1694"
42,2016-10-12__11-10-00-326.jpg,"1812,1048,1812,1158,1962,1158,1962,1048"
42,2016-10-12__11-10-00-326.jpg,"2016,133,2016,180,2080,180,2080,133"
43,2016-10-12__11-45-56-674.jpg,"602,205,602,394,784,394,784,205"
43,2016-10-12__11-45-56-674.jpg,"587,505,587,658,741,658,741,505"
43,2016-10-12__11-45-56-674.jpg,"827,380,827,590,987,590,987,380"
43,2016-10-12__11-45-56-674.jpg,"930,223,930,408,1087,408,1087,223"
43,2016-10-12__11-45-56-674.jpg,"502,2523,502,2708,748,2708,748,2523"
43,2016-10-12__11-45-56-674.jpg,"902,2565,902,2640,980,2640,980,2565"
43,2016-10-12__11-45-56-674.jpg,"512,2901,512,3176,716,3176,716,2901"
43,2016-10-12__11-45-56-674.jpg,"684,3030,684,3233,837,3233,837,3030"
43,2016-10-12__11-45-56-674.jpg,"1069,2915,1069,3044,1255,3044,1255,2915"
43,2016-10-12__11-45-56-674.jpg,"2330,3040,2330,3291,2472,3291,2472,3040"
43,2016-10-12__11-45-56-674.jpg,"2091,1965,2091,2076,2212,2076,2212,1965"
43,2016-10-12__11-45-56-674.jpg,"2194,1573,2194,1751,2352,1751,2352,1573"
43,2016-10-12__11-45-56-674.jpg,"2166,1001,2166,1301,2437,1301,2437,1001"
43,2016-10-12__11-45-56-674.jpg,"2073,358,2073,576,2316,576,2316,358"
43,2016-10-12__11-45-56-674.jpg,"2437,187,2437,447,2472,447,2472,187"
46,2016-10-12__13-00-38-266.jpg,"802,1705,802,1823,894,1823,894,1705"
47,2016-10-13__11-32-55-825.jpg,"2052,2469,2052,2587,2137,2587,2137,2469"
48,2016-10-14__04-55-25-594.jpg,"787,130,787,351,944,351,944,130"
48,2016-10-14__04-55-25-594.jpg,"373,740,373,894,559,894,559,740"
48,2016-10-14__04-55-25-594.jpg,"737,1012,737,1158,894,1158,894,1012"
48,2016-10-14__04-55-25-594.jpg,"630,1112,630,1244,777,1244,777,1112"
48,2016-10-14__04-55-25-594.jpg,"1073,1158,1073,1294,1266,1294,1266,1158"
48,2016-10-14__04-55-25-594.jpg,"844,1680,844,1808,962,1808,962,1680"
48,2016-10-14__04-55-25-594.jpg,"630,1662,630,1923,798,1923,798,1662"
48,2016-10-14__04-55-25-594.jpg,"748,2298,748,2540,930,2540,930,2298"
48,2016-10-14__04-55-25-594.jpg,"966,2458,966,2698,1116,2698,1116,2458"
48,2016-10-14__04-55-25-594.jpg,"519,2912,519,3280,744,3280,744,2912"
48,2016-10-14__04-55-25-594.jpg,"2187,844,2187,1076,2309,1076,2309,844"
49,2016-10-14__04-55-48-291.jpg,"323,8,323,158,598,158,598,8"
49,2016-10-14__04-55-48-291.jpg,"9,55,9,305,277,305,277,55"
49,2016-10-14__04-55-48-291.jpg,"227,458,227,665,484,665,484,458"
49,2016-10-14__04-55-48-291.jpg,"241,644,241,926,484,926,484,644"
49,2016-10-14__04-55-48-291.jpg,"330,1130,330,1315,509,1315,509,1130"
49,2016-10-14__04-55-48-291.jpg,"491,1201,491,1430,719,1430,719,1201"
49,2016-10-14__04-55-48-291.jpg,"341,1580,341,1798,587,1798,587,1580"
49,2016-10-14__04-55-48-291.jpg,"387,1826,387,1990,612,1990,612,1826"
49,2016-10-14__04-55-48-291.jpg,"352,2273,352,2458,562,2458,562,2273"
49,2016-10-14__04-55-48-291.jpg,"369,2498,369,2794,612,2794,612,2498"
49,2016-10-14__04-55-48-291.jpg,"277,2790,277,3037,591,3037,591,2790"
49,2016-10-14__04-55-48-291.jpg,"416,3026,416,3294,644,3294,644,3026"
49,2016-10-14__04-55-48-291.jpg,"1541,44,1541,305,1805,305,1805,44"
49,2016-10-14__04-55-48-291.jpg,"2069,180,2069,523,2269,523,2269,180"
49,2016-10-14__04-55-48-291.jpg,"2269,923,2269,1087,2394,1087,2394,923"
49,2016-10-14__04-55-48-291.jpg,"2277,1265,2277,1465,2394,1465,2394,1265"
49,2016-10-14__04-55-48-291.jpg,"2030,1262,2030,1608,2262,1608,2262,1262"
49,2016-10-14__04-55-48-291.jpg,"1773,1626,1773,1858,2016,1858,2016,1626"
49,2016-10-14__04-55-48-291.jpg,"2087,2898,2087,3151,2284,3151,2284,2898"
49,2016-10-14__04-55-48-291.jpg,"1534,2655,1534,2915,1752,2915,1752,2655"
50,2016-10-16__11-22-09-672.jpg,"5,19,5,137,209,137,209,19"
50,2016-10-16__11-22-09-672.jpg,"280,5,280,194,459,194,459,5"
50,2016-10-16__11-22-09-672.jpg,"680,183,680,333,787,333,787,183"
50,2016-10-16__11-22-09-672.jpg,"48,690,48,944,266,944,266,690"
50,2016-10-16__11-22-09-672.jpg,"394,601,394,737,487,737,487,601"
50,2016-10-16__11-22-09-672.jpg,"344,823,344,983,530,983,530,823"
50,2016-10-16__11-22-09-672.jpg,"784,823,784,976,923,976,923,823"
50,2016-10-16__11-22-09-672.jpg,"284,1026,284,1183,477,1183,477,1026"
50,2016-10-16__11-22-09-672.jpg,"5,1230,5,1358,230,1358,230,1230"
50,2016-10-16__11-22-09-672.jpg,"477,1380,477,1548,698,1548,698,1380"
50,2016-10-16__11-22-09-672.jpg,"16,1608,16,1712,202,1712,202,1608"
50,2016-10-16__11-22-09-672.jpg,"19,1733,19,1908,241,1908,241,1733"
50,2016-10-16__11-22-09-672.jpg,"412,1744,412,1905,569,1905,569,1744"
50,2016-10-16__11-22-09-672.jpg,"662,1655,662,1819,802,1819,802,1655"
50,2016-10-16__11-22-09-672.jpg,"337,2069,337,2248,509,2248,509,2069"
50,2016-10-16__11-22-09-672.jpg,"687,2001,687,2165,816,2165,816,2001"
50,2016-10-16__11-22-09-672.jpg,"352,2615,352,2776,516,2776,516,2615"
50,2016-10-16__11-22-09-672.jpg,"552,2926,552,3126,684,3126,684,2926"
50,2016-10-16__11-22-09-672.jpg,"2209,8,2209,136,2472,136,2472,8"
50,2016-10-16__11-22-09-672.jpg,"2134,251,2134,664,2472,664,2472,251"
50,2016-10-16__11-22-09-672.jpg,"2069,915,2069,1180,2369,1180,2369,915"
50,2016-10-16__11-22-09-672.jpg,"2177,1276,2177,1651,2466,1651,2466,1276"
50,2016-10-16__11-22-09-672.jpg,"1862,1576,1862,1876,2112,1876,2112,1576"
50,2016-10-16__11-22-09-672.jpg,"2234,1594,2234,1898,2469,1898,2469,1594"
50,2016-10-16__11-22-09-672.jpg,"1902,2108,1902,2387,2334,2387,2334,2108"
50,2016-10-16__11-22-09-672.jpg,"1959,2594,1959,2815,2259,2815,2259,2594"
50,2016-10-16__11-22-09-672.jpg,"1905,2923,1905,3205,2141,3205,2141,2923"
50,2016-10-16__11-22-09-672.jpg,"2194,2940,2194,3290,2437,3290,2437,2940"
50,2016-10-16__11-22-09-672.jpg,"2369,2515,2369,2931,2472,2931,2472,2515"
51,2016-10-16__11-41-21-743.jpg,"709,5,709,251,891,251,891,5"
51,2016-10-16__11-41-21-743.jpg,"1027,1,1027,98,1169,98,1169,1"
51,2016-10-16__11-41-21-743.jpg,"1241,108,1241,265,1391,265,1391,108"
51,2016-10-16__11-41-21-743.jpg,"880,398,880,562,1034,562,1034,398"
51,2016-10-16__11-41-21-743.jpg,"1166,365,1166,580,1330,580,1330,365"
51,2016-10-16__11-41-21-743.jpg,"1080,683,1080,844,1259,844,1259,683"
51,2016-10-16__11-41-21-743.jpg,"548,651,548,801,777,801,777,651"
51,2016-10-16__11-41-21-743.jpg,"591,912,591,1101,830,1101,830,912"
51,2016-10-16__11-41-21-743.jpg,"891,908,891,1148,1044,1148,1044,908"
51,2016-10-16__11-41-21-743.jpg,"1312,680,1312,851,1484,851,1484,680"
51,2016-10-16__11-41-21-743.jpg,"1334,833,1334,994,1505,994,1505,833"
51,2016-10-16__11-41-21-743.jpg,"1016,1240,1016,1390,1169,1390,1169,1240"
51,2016-10-16__11-41-21-743.jpg,"1380,1323,1380,1476,1634,1476,1634,1323"
51,2016-10-16__11-41-21-743.jpg,"966,1405,966,1548,1123,1548,1123,1405"
51,2016-10-16__11-41-21-743.jpg,"455,1590,455,1715,694,1715,694,1590"
